TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
0,2008,4,1,2008/4/2,,,,
1,2012,6,28,2012/6/29,,,,
2,2016,9,29,2016/9/30,,,,
3,2020,11,30,2020/12/1,,,,
4,2008,4,31,day is out of range for month,,,,
5,2012,1,5,2012/1/6,,,,
6,2016,3,28,2016/3/29,,,,
7,2020,5,29,2020/5/30,,,,
8,2008,7,30,2008/7/31,,,,
9,2012,8,31,2012/9/1,,,,
10,2016,2,10,2016/2/11,,,,
11,2020,2,28,2020/2/29,,,,
12,2008,2,29,2008/3/1,,,,
13,2012,2,30,day is out of range for month,,,,
14,2016,2,31,day is out of range for month,,,,
15,2020,12,15,2020/12/16,,,,
16,2008,12,28,2008/12/29,,,,
17,2012,12,29,2012/12/30,,,,
18,2016,12,30,2016/12/31,,,,
19,2020,12,31,2021/1/1,,,,
20,2009,4,20,2009/4/21,,,,
21,2010,6,28,2010/6/29,,,,
22,2011,9,29,2011/9/30,,,,
23,2013,11,30,2013/12/1,,,,
24,2014,4,31,day is out of range for month,,,,
25,2015,10,22,2015/10/23,,,,
26,2017,3,28,2017/3/29,,,,
27,2018,5,29,2018/5/30,,,,
28,2019,7,30,2019/7/31,,,,
29,2009,8,31,2009/9/1,,,,
30,2010,2,23,2010/2/24,,,,
31,2011,2,28,2011/3/1,,,,
32,2013,2,29,day is out of range for month,,,,
33,2014,2,30,day is out of range for month,,,,
34,2015,2,31,day is out of range for month,,,,
35,2017,12,25,2017/12/26,,,,
36,2018,12,28,2018/12/29,,,,
37,2019,12,29,2019/12/30,,,,
38,2019,12,30,2019/12/31,,,,
39,2019,12,31,2020/1/1,,,,
