TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
0,2008,4,1,2008/4/2,,,,
1,2012,6,28,2012/6/29,,,,
2,2016,9,29,2016/9/30,,,,
3,2020,11,30,2020/12/1,,,,
4,2008,4,31,day is out of range for month,,,,
5,2012,1,5,2012/1/6,,,,
6,2016,3,28,2016/3/29,,,,
7,2020,5,29,2020/5/30,,,,
8,2008,7,30,2008/7/31,,,,
9,2012,8,31,2012/9/1,,,,
10,2016,2,10,2016/2/11,,,,
11,2020,2,28,2020/2/29,,,,
12,2008,2,29,2008/3/1,,,,
13,2012,2,30,day is out of range for month,,,,
14,2016,2,31,day is out of range for month,,,,
15,2020,12,15,2020/12/16,,,,
16,2008,12,28,2008/12/29,,,,
17,2012,12,29,2012/12/30,,,,
18,2016,12,30,2016/12/31,,,,
19,2020,12,31,2021/1/1,,,,
20,2009,4,20,2009/4/21,,,,
21,2010,6,28,2010/6/29,,,,
22,2011,9,29,2011/9/30,,,,
23,2013,11,30,2013/12/1,,,,
24,2014,4,31,day is out of range for month,,,,
25,2015,10,22,2015/10/23,,,,
26,2017,3,28,2017/3/29,,,,
27,2018,5,29,2018/5/30,,,,
28,2019,7,30,2019/7/31,,,,
29,2009,8,31,2009/9/1,,,,
30,2010,2,23,2010/2/24,,,,
31,2011,2,28,2011/3/1,,,,
32,2013,2,29,day is out of range for month,,,,
33,2014,2,30,day is out of range for month,,,,
34,2015,2,31,day is out of range for month,,,,
35,2017,12,25,2017/12/26,,,,
36,2018,12,28,2018/12/29,,,,
37,2019,12,29,2019/12/30,,,,
38,2019,12,30,2019/12/31,,,,
39,2019,12,31,2020/1/1,,,,
40,1999,4,5,Year Exceed,,,,
41,1998,3,28,Year Exceed,,,,
42,1999,2,29,Year Exceed,,,,
43,300,12,30,Year Exceed,,,,
44,1900,2,31,Year Exceed,,,,
45,2101,4,5,Year Exceed,,,,
46,2102,3,28,Year Exceed,,,,
47,2222,2,29,Year Exceed,,,,
48,2500,12,30,Year Exceed,,,,
49,10000,2,31,Year Exceed,,,,
50,2008,0,5,Month Exceed,,,,
51,2019,-1,28,Month Exceed,,,,
52,2020,-100,29,Month Exceed,,,,
53,2017,-3,30,Month Exceed,,,,
54,2012,-6,31,Month Exceed,,,,
55,2008,13,5,Month Exceed,,,,
56,2019,100,28,Month Exceed,,,,
57,2020,15,29,Month Exceed,,,,
58,2017,16,30,Month Exceed,,,,
59,2012,1000,31,Month Exceed,,,,
60,2008,4,0,Day Exceed,,,,
61,2019,3,-1,Day Exceed,,,,
62,2020,2,-100,Day Exceed,,,,
63,2017,12,-2,Day Exceed,,,,
64,2012,2,-5,Day Exceed,,,,
65,2008,4,32,Day Exceed,,,,
66,2019,3,33,Day Exceed,,,,
67,2020,2,50,Day Exceed,,,,
68,2017,12,100,Day Exceed,,,,
69,2012,2,1000,Day Exceed,,,,
70,1998,-2,-1,,,,,
71,1998,-2,0,,,,,
72,1998,-2,32,,,,,
73,1998,0,-1,,,,,
74,1998,0,0,,,,,
75,1998,0,32,,,,,
76,1998,13,-1,,,,,
77,1998,13,0,,,,,
78,1998,13,32,,,,,
79,2101,-2,-1,,,,,
80,2101,-2,0,,,,,
81,2101,-2,32,,,,,
82,2101,0,-1,,,,,
83,2101,0,0,,,,,
84,2101,0,32,,,,,
85,2101,13,-1,,,,,
86,2101,13,0,,,,,
87,2101,13,32,,,,,
