TestCaseID,Edge1,Edge2,Edge3,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
0,100,100,100,等边三角形,等边三角形,True,2020-06-29 20:14:31,anonymous
1,100,100,1,等腰三角形,等腰三角形,True,2020-06-29 20:14:31,anonymous
2,6,7,8,普通三角形,普通三角形,True,2020-06-29 20:14:31,anonymous
3,3,4,5,直角三角形,直角三角形,True,2020-06-29 20:14:31,anonymous
4,100,100,200,非三角形,非三角形,True,2020-06-29 20:14:31,anonymous
5,-1,100,100,数值越界,数值越界,True,2020-06-29 20:14:31,anonymous
6,201,100,100,数值越界,数值越界,True,2020-06-29 20:14:31,anonymous
7,0,100,100,数值越界,数值越界,True,2020-06-29 20:14:31,anonymous
8,100,-1,100,数值越界,数值越界,True,2020-06-29 20:14:31,anonymous
9,100,201,100,数值越界,数值越界,True,2020-06-29 20:14:31,anonymous
10,100,0,100,数值越界,数值越界,True,2020-06-29 20:14:31,anonymous
11,100,100,-1,数值越界,数值越界,True,2020-06-29 20:14:31,anonymous
12,100,100,201,数值越界,数值越界,True,2020-06-29 20:14:31,anonymous
13,100,100,0,数值越界,数值越界,True,2020-06-29 20:14:31,anonymous
