TestCaseID,Host,Display,Peripheral,ExpectedOutput1,ActualOutput1,ExpectedOutput2,ActualOutput2,Correctness,Time,TesterName
1,0,40,45,error,error,error,error,True,2020-06-16 20:59:18,anonymous
2,1,40,45,3250,3250,650,650,True,2020-06-16 20:59:18,anonymous
3,2,40,45,3275,3275,655,655,True,2020-06-16 20:59:18,anonymous
4,69,40,45,4950,4950,990,990,True,2020-06-16 20:59:18,anonymous
5,70,40,45,4975,4975,995,995,True,2020-06-16 20:59:18,anonymous
6,71,40,45,error,error,error,error,True,2020-06-16 20:59:18,anonymous
7,35,0,45,error,error,error,error,True,2020-06-16 20:59:18,anonymous
8,35,1,45,2930,2930,586,586,True,2020-06-16 20:59:18,anonymous
9,35,2,45,2960,2960,592,592,True,2020-06-16 20:59:18,anonymous
10,35,79,45,5270,5270,1054,1054,True,2020-06-16 20:59:18,anonymous
11,35,80,45,5300,5300,1060,1060,True,2020-06-16 20:59:18,anonymous
12,35,81,45,error,error,error,error,True,2020-06-16 20:59:18,anonymous
13,35,40,0,error,error,error,error,True,2020-06-16 20:59:18,anonymous
14,35,40,1,2120,2120,424,424,True,2020-06-16 20:59:18,anonymous
15,35,40,2,2165,2165,433,433,True,2020-06-16 20:59:18,anonymous
16,35,40,89,6080,6080,1216,1216,True,2020-06-16 20:59:18,anonymous
17,35,40,90,6125,6125,1225,1225,True,2020-06-16 20:59:18,anonymous
18,35,40,91,error,error,error,error,True,2020-06-16 20:59:18,anonymous
19,35,40,45,4100,4100,820,820,True,2020-06-16 20:59:18,anonymous
20,9,9,9,900,900,90,90,True,2020-06-16 20:59:18,anonymous
21,10,10,10,1000,1000,100,100,True,2020-06-16 20:59:18,anonymous
22,17,17,17,1700,1700,255,255,True,2020-06-16 20:59:18,anonymous
23,18,18,18,1800,1800,270,270,True,2020-06-16 20:59:18,anonymous
