TestCaseID,Host,Display,Peripheral,ExpectedOutput1,ActualOutput1,ExpectedOutput2,ActualOutput2,Correctness,Time,TesterName
1,0,40,45,error,error,error,error,True,2020-06-30 15:21:36,anonymous
2,1,40,45,3250,3250,650.0,650.0,True,2020-06-30 15:21:36,anonymous
3,2,40,45,3275,3275,655.0,655.0,True,2020-06-30 15:21:36,anonymous
4,69,40,45,4950,4950,990.0,990.0,True,2020-06-30 15:21:36,anonymous
5,70,40,45,4975,4975,995.0,995.0,True,2020-06-30 15:21:36,anonymous
6,71,40,45,error,error,error,error,True,2020-06-30 15:21:36,anonymous
7,35,0,45,error,error,error,error,True,2020-06-30 15:21:36,anonymous
8,35,1,45,2930,2930,586.0,586.0,True,2020-06-30 15:21:36,anonymous
9,35,2,45,2960,2960,592.0,592.0,True,2020-06-30 15:21:36,anonymous
10,35,79,45,5270,5270,1054.0,1054.0,True,2020-06-30 15:21:36,anonymous
11,35,80,45,5300,5300,1060.0,1060.0,True,2020-06-30 15:21:36,anonymous
12,35,81,45,error,error,error,error,True,2020-06-30 15:21:36,anonymous
13,35,40,0,error,error,error,error,True,2020-06-30 15:21:36,anonymous
14,35,40,1,2120,2120,424.0,424.0,True,2020-06-30 15:21:36,anonymous
15,35,40,2,2165,2165,433.0,433.0,True,2020-06-30 15:21:36,anonymous
16,35,40,89,6080,6080,1216.0,1216.0,True,2020-06-30 15:21:36,anonymous
17,35,40,90,6125,6125,1225.0,1225.0,True,2020-06-30 15:21:36,anonymous
18,35,40,91,error,error,error,error,True,2020-06-30 15:21:36,anonymous
19,35,40,45,4100,4100,820.0,820.0,True,2020-06-30 15:21:36,anonymous
20,9,9,9,900,900,90.0,90.0,True,2020-06-30 15:21:36,anonymous
21,10,10,10,1000,1000,100.0,100.0,True,2020-06-30 15:21:36,anonymous
22,17,17,17,1700,1700,255.0,255.0,True,2020-06-30 15:21:36,anonymous
23,18,18,18,1800,1800,270.0,270.0,True,2020-06-30 15:21:36,anonymous
