TestCaseID,MonthTalkTime,YearUnpaidNum,UnpaidCostAcrossYear,PayMethod,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
0,0,0,0,Alipay,25.0,25.0,True,2020-06-30 11:11:55,anonymous
1,1,0,0,Alipay,25.1485,25.1485,True,2020-06-30 11:11:55,anonymous
2,2,0,0,Alipay,25.297,25.297,True,2020-06-30 11:11:55,anonymous
3,22320,0,0,Alipay,3272.56,3272.56,True,2020-06-30 11:11:55,anonymous
4,44639,0,0,Alipay,6519.9745,6519.9745,True,2020-06-30 11:11:55,anonymous
5,44640,0,0,Alipay,6520.12,6520.12,True,2020-06-30 11:11:55,anonymous
6,44641,0,0,Alipay,error,error,True,2020-06-30 11:11:55,anonymous
7,60,-1,0, Alipay,error,error,True,2020-06-30 11:11:55,anonymous
8,60,1,0,Alipay,33.91,33.91,True,2020-06-30 11:11:55,anonymous
9,60,2,0,Alipay,34.0,34.0,True,2020-06-30 11:11:55,anonymous
10,60,1,-1,Alipay,error,error,True,2020-06-30 11:11:55,anonymous
11,60,1,250,Alipay,46.41,46.41,True,2020-06-30 11:11:55,anonymous
12,60,1,500,Alipay,58.91,58.91,True,2020-06-30 11:11:55,anonymous
13,60,1,501,Alipay,error,error,True,2020-06-30 11:11:55,anonymous
14,61,0,0,Alipay,34.01275,34.01275,True,2020-06-30 11:11:55,anonymous
15,61,-1,0,Alipay,error,error,True,2020-06-30 11:11:55,anonymous
16,61,2,0,Alipay,34.01275,34.01275,True,2020-06-30 11:11:55,anonymous
17,61,3,0,Alipay,34.15,34.15,True,2020-06-30 11:11:55,anonymous
18,120,0,0,Alipay,42.73,42.73,True,2020-06-30 11:11:55,anonymous
19,120,0,-1,Alipay,error,error,True,2020-06-30 11:11:55,anonymous
20,120,0,250,Alipay,55.23,55.23,True,2020-06-30 11:11:55,anonymous
21,120,0,500,Alipay,67.73,67.73,True,2020-06-30 11:11:55,anonymous
22,120,0,501,Alipay,error,error,True,2020-06-30 11:11:55,anonymous
23,121,-1,0,Alipay,error,error,True,2020-06-30 11:11:55,anonymous
24,121,0,0,BankCard,42.787,42.787,True,2020-06-30 11:11:55,anonymous
25,121,3,0,BankCard,42.787,42.787,True,2020-06-30 11:11:55,anonymous
26,121,4,0,BankCard,43.15,43.15,True,2020-06-30 11:11:55,anonymous
27,180,0,0,BankCard,51.46,51.46,True,2020-06-30 11:11:55,anonymous
28,180,0,-1,BankCard,error,error,True,2020-06-30 11:11:55,anonymous
29,180,0,250,BankCard,63.96,63.96,True,2020-06-30 11:11:55,anonymous
30,180,0,500,BankCard,76.46,76.46,True,2020-06-30 11:11:55,anonymous
31,180,0,501,BankCard,error,error,True,2020-06-30 11:11:55,anonymous
32,181,0,0,BankCard,51.47125,51.47125,True,2020-06-30 11:11:55,anonymous
33,181,-1,0,BankCard,error,error,True,2020-06-30 11:11:55,anonymous
34,181,3,0,BankCard,51.47125,51.47125,True,2020-06-30 11:11:55,anonymous
35,181,4,0,BankCard,52.15,52.15,True,2020-06-30 11:11:55,anonymous
36,300,0,0,BankCard,68.875,68.875,True,2020-06-30 11:11:55,anonymous
37,300,0,-1,BankCard,error,error,True,2020-06-30 11:11:55,anonymous
38,300,0,250,BankCard,81.375,81.375,True,2020-06-30 11:11:55,anonymous
39,300,0,500,BankCard,93.875,93.875,True,2020-06-30 11:11:55,anonymous
40,300,0,501,BankCard,error,error,True,2020-06-30 11:11:55,anonymous
41,301,0,0,BankCard,68.7955,68.7955,True,2020-06-30 11:11:55,anonymous
42,301,-1,0,BankCard,error,error,True,2020-06-30 11:11:55,anonymous
43,301,6,0,BankCard,68.7955,68.7955,True,2020-06-30 11:11:55,anonymous
44,301,7,0,BankCard,70.15,70.15,True,2020-06-30 11:11:55,anonymous
45,301,0,-1,BankCard,error,error,True,2020-06-30 11:11:55,anonymous
46,301,0,250,BankCard,81.2955,81.2955,True,2020-06-30 11:11:55,anonymous
47,301,0,500,BankCard,93.7955,93.7955,True,2020-06-30 11:11:55,anonymous
48,301,0,501,BankCard,error,error,True,2020-06-30 11:11:55,anonymous
49,301,0,0,0,error,error,True,2020-06-30 11:11:55,anonymous
50,-1,0,0,BankCard,error,error,True,2020-06-30 11:11:55,anonymous
51,1,11,0,BankCard,25.15,25.15,True,2020-06-30 11:11:55,anonymous
52,1,12,0,BankCard,error,error,True,2020-06-30 11:11:55,anonymous
