TestCaseID,MonthTalkTime,YearUnpaidNum,UnpaidCostAcrossYear,PayMethod,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,-1,0,0,Alipay,error,error,True,2020-07-01 15:56:19,anonymous
2,0,0,0,Alipay,25.0,25.0,True,2020-07-01 15:56:19,anonymous
3,1,0,0,Alipay,25.1485,25.1485,True,2020-07-01 15:56:19,anonymous
4,30,1,0,Alipay,29.455,29.455,True,2020-07-01 15:56:19,anonymous
5,30,3,0,Alipay,29.5,29.5,True,2020-07-01 15:56:19,anonymous
6,30,-1,0,Alipay,error,error,True,2020-07-01 15:56:19,anonymous
7,30,0,-1,Alipay,error,error,True,2020-07-01 15:56:19,anonymous
8,60,-1,0, Alipay,error,error,True,2020-07-01 15:56:19,anonymous
9,60,1,-1,Alipay,error,error,True,2020-07-01 15:56:19,anonymous
10,60,1,250,Alipay,46.41,46.41,True,2020-07-01 15:56:19,anonymous
11,60,1,500,Alipay,58.91,58.91,True,2020-07-01 15:56:19,anonymous
12,61,-1,0,Alipay,error,error,True,2020-07-01 15:56:19,anonymous
13,61,2,0,Alipay,34.01275,34.01275,True,2020-07-01 15:56:19,anonymous
14,61,3,0,Alipay,34.15,34.15,True,2020-07-01 15:56:19,anonymous
15,90,5,0,Alipay,38.5,38.5,True,2020-07-01 15:56:19,anonymous
16,90,2,0,Alipay,38.2975,38.2975,True,2020-07-01 15:56:19,anonymous
17,120,0,0,Alipay,42.73,42.73,True,2020-07-01 15:56:19,anonymous
18,120,0,-1,Alipay,error,error,True,2020-07-01 15:56:19,anonymous
19,120,0,250,Alipay,55.23,55.23,True,2020-07-01 15:56:19,anonymous
20,121,-1,0,Alipay,error,error,True,2020-07-01 15:56:19,anonymous
21,121,0,0,BankCard,42.787,42.787,True,2020-07-01 15:56:19,anonymous
22,121,3,0,BankCard,42.787,42.787,True,2020-07-01 15:56:19,anonymous
23,121,4,0,BankCard,43.15,43.15,True,2020-07-01 15:56:19,anonymous
24,150,3,0,Alipay,47.05,47.05,True,2020-07-01 15:56:19,anonymous
25,150,6,0,Alipay,47.5,47.5,True,2020-07-01 15:56:19,anonymous
26,180,0,0,BankCard,51.46,51.46,True,2020-07-01 15:56:19,anonymous
27,180,0,-1,BankCard,error,error,True,2020-07-01 15:56:19,anonymous
28,181,0,0,BankCard,51.47125,51.47125,True,2020-07-01 15:56:19,anonymous
29,181,-1,0,BankCard,error,error,True,2020-07-01 15:56:19,anonymous
30,181,3,0,BankCard,51.47125,51.47125,True,2020-07-01 15:56:19,anonymous
31,240,3,0,Alipay,60.1,60.1,True,2020-07-01 15:56:19,anonymous
32,240,8,0,Alipay,61.0,61.0,True,2020-07-01 15:56:19,anonymous

